20481,7892
19300,2275
18743,12101
16532,14316
24914,6173
16432,12108
20289,12792
16432,12108
16571,6246
19275,5653
18793,1184
16330,41
16651,11914
16542,2249
16330,6165
17098,12292
20079,11919
16164,6042
17098,7092
16934,6308
17198,12245
20632,6306
22744,12056
20134,2263
20644,5546
19084,8842
21160,7666
16697,59
17098,7092
21046,5082
18434,3151
16613,14350
22261,14322
16771,11918
18802,6122
16299,6015
16124,6119
19912,4136
16298,13
16127,61
23946,6327
18516,10110
17955,4643
22269,4141
16522,12192
24255,14315
24109,8301
17854,313
27379,7371
16257,7712
18802,7701
20381,5054
22002,4103
28090,14500
16322,6752
27429,7377
16127,11917
20079,12033
16879,2374
16161,8661
20530,4101
16405,7700
17291,7927
16257,7712
22200,4559
16161,11925
22307,11920
25569,6261
17644,13445
22331,7684
17124,6284
17098,7092
16578,6014
23153,12283
18855,642
16171,12792
16375,13120
19504,12137
27785,12325
20530,2356
19949,11648
17808,6727
16913,6054
20501,16017
16986,15262
18432,9111
18327,10183
21583,6324
16139,0
16399,4100
16483,14426
19779,2228
16290,4152
16140,12040
17179,6324
16271,6087
20198,5045
16189,13179
27432,14446
25039,7425
16497,11648
16349,7666
21680,1882
17502,1250
22307,11920
16522,6173
16913,6054
17805,6657
17560,195
16352,36
16265,6659
23613,9341
16127,42
17291,14513
16405,6419
18409,1173
16344,7584
16346,7566
17389,8642
18609,12315
16224,13378
16125,12040
16245,10745
16993,12230
16259,7371
19803,8871
20306,6327
17821,7371
16487,10312
25773,12503
18006,9259
20522,5180
25773,7892
24255,14315
33271,14435
16392,13163
24283,8995
16854,14324
16356,6083
16330,41
22992,4205
16187,6727
17331,15258
17377,11972
23358,713
18962,6058
16147,845
17644,13445
16220,10
16300,35
18297,6250
16330,47
16480,2226
31513,12278
18653,13337
16365,6211
31513,12278
19028,11983
17249,14513
16855,55
18479,5149
22005,12020
23003,4206
18653,2524
17901,9207
18962,14323
16245,12237
21144,6119
18327,10183
16127,22
19985,12043
18006,8664
17325,97
16399,6043
17681,5519
17325,97
18111,12328
17734,4197
18091,2305
16558,45
16189,2225
16558,45
16271,14324
20980,8920
18831,14314
29963,6887
16271,11924
24093,12333
20134,2263
16199,14422
24228,6671
22005,12169
19028,11983
19747,14435
16171,6015
17272,5155
20958,13138
20134,2263
16534,39
17240,6580
23280,4427
21705,12428
16161,0
20980,9044
16299,2212
17901,13530
16312,4353
16365,6211
25562,6271
22744,12056
17494,4243
16482,7815
16121,6073
17291,14513
16432,12015
18433,7422
19950,12148
16952,11648
18432,9111
16127,42
16352,13163
17681,5519
16960,7950
23003,13551
16171,6444
16522,4353
17249,12321
16127,42
19779,14415
21343,7778
16943,12330
18793,7007
17018,10268
16272,11
16771,7632
16934,61
20980,14529
16632,14435
19779,2228
27686,7550
20501,2515
16558,83
23280,4427
23111,14395
19703,13697
16161,6701
23003,4206
16187,6727
16245,7007
16120,6140
16123,11993
19763,2233
20826,7166
16127,2320
17248,6271
21784,14505
24255,1346
18479,5149
16803,14395
16568,14476
17906,13120
25866,6805
17030,14428
18499,8639
22282,7679
16147,14431
16581,7622
16858,7369
18808,6313
23003,13551
17317,6238
17495,6405
16147,6030
25797,6290
16994,6657
17484,6142
25223,6178
17965,409
16127,47
16459,11648
16536,7627
16765,6347
20004,4128
20306,11962
18962,14323
20856,8973
23843,7889
20530,2356
20198,7772
16171,6444
16202,11920
20850,8910
16127,2320
20530,2732
20306,2356
16322,6637
17767,4295
16497,2287
16371,12181
18434,3151
16558,45
18653,2524
17805,6657
16940,6155
16414,12315
16581,7622
16298,7584
16147,845
16767,6128
16405,6155
16632,6203
17181,84
17181,12467
18730,12088
16405,7403
19779,6151
16854,14324
16364,817
18209,9860
18516,10110
16247,6411
16364,2226
22758,12324
22005,12020
19747,12033
16765,6347
16643,47
16245,12075
16441,28
22174,13180
21008,4141
22062,8962
16364,817
17539,13888
16432,12015
18807,1188
17207,6264
16568,14476
16605,6219
18501,808
23003,13551
